"Note: The report represents net sales that are self-reported by retail marijuana licensees. Information is subject to change due to late reports, corrections or audit findings. This file will be updated by approximately the 10th business day of each month.       ",,,
Last Update: 04/06/2021,,,
,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
071368,2017-11," 418,512 "," 154,849 "
076189,2017-11," 23,189 "," 8,580 "
079013,2017-11," 166,970 "," 61,779 "
079720,2017-11," 116,061 "," 42,942 "
081400,2017-11," 103,443 "," 38,274 "
082587,2017-11," 487,312 "," 180,305 "
084045,2017-11," 451,271 "," 166,970 "
084130,2017-11," 10,865 "," 4,020 "
084154,2017-11," 183,622 "," 67,940 "
085059,2017-11, 669 , 247 
086054,2017-11," 55,195 "," 20,422 "
086823,2017-11," 127,388 "," 47,133 "
350641,2017-11," 34,221 "," 12,662 "
353260,2017-11," 41,688 "," 15,424 "
353928,2017-11," 211,112 "," 78,112 "
353993,2017-11," 36,190 "," 13,390 "
354876,2017-11," 242,777 "," 89,828 "
360307,2017-11," 391,296 "," 144,779 "
400209,2017-11," 55,324 "," 20,470 "
400772,2017-11," 174,235 "," 64,467 "
402039,2017-11," 272,007 "," 100,642 "
402780,2017-11," 102,635 "," 37,975 "
404933,2017-11," 98,319 "," 36,378 "
410273,2017-11," 955,234 "," 353,437 "
410332,2017-11," 194,796 "," 72,075 "
410798,2017-11," 128,938 "," 47,707 "
410831,2017-11," 372,528 "," 137,836 "
411970,2017-11," 114,075 "," 42,208 "
412066,2017-11," 52,332 "," 19,363 "
412370,2017-11," 170,219 "," 62,981 "
412466,2017-11," 98,763 "," 36,542 "
412490,2017-11," 350,008 "," 129,503 "
412494,2017-11," 675,202 "," 249,825 "
412921,2017-11," 150,104 "," 55,539 "
412922,2017-11," 142,131 "," 52,588 "
412923,2017-11," 600,884 "," 222,327 "
413258,2017-11," 304,970 "," 112,839 "
413314,2017-11," 167,377 "," 61,930 "
413319,2017-11," 167,978 "," 62,152 "
413358,2017-11," 1,111,854 "," 411,386 "
413363,2017-11," 384,955 "," 142,433 "
413366,2017-11," 121,088 "," 44,802 "
413369,2017-11," 501,074 "," 185,397 "
413372,2017-11," 296,623 "," 109,751 "
413374,2017-11," 187,446 "," 69,355 "
413374,2017-11," 15,393 "," 5,696 "
413385,2017-11," 49,241 "," 18,219 "
413407,2017-11," 75,209 "," 27,827 "
413414,2017-11," 85,260 "," 31,546 "
413420,2017-11," 427,182 "," 158,057 "
413426,2017-11," 249,957 "," 92,484 "
413427,2017-11," 153,270 "," 56,710 "
413428,2017-11," 66,294 "," 24,529 "
413479,2017-11," 198,290 "," 73,367 "
413481,2017-11," 201,092 "," 74,404 "
413492,2017-11," 110,765 "," 40,983 "
413519,2017-11," 157,380 "," 58,230 "
413529,2017-11," 51,478 "," 19,047 "
413530,2017-11," 26,068 "," 9,645 "
413534,2017-11," 162,351 "," 60,070 "
413541,2017-11," 193,166 "," 71,472 "
413544,2017-11," 172,770 "," 63,925 "
413550,2017-11," 203,811 "," 75,410 "
413551,2017-11," 147,286 "," 54,496 "
413558,2017-11," 409,128 "," 151,377 "
413570,2017-11," 383,401 "," 141,859 "
413586,2017-11," 92,447 "," 34,205 "
413596,2017-11," 86,750 "," 32,098 "
413600,2017-11," 67,821 "," 25,094 "
413677,2017-11," 113,069 "," 41,836 "
413683,2017-11," 578,638 "," 214,096 "
413692,2017-11," 254,930 "," 94,324 "
413700,2017-11," 6,774 "," 2,506 "
413702,2017-11," 36,521 "," 13,513 "
413727,2017-11," 148,987 "," 55,125 "
413729,2017-11," 95,271 "," 35,250 "
413732,2017-11," 318,019 "," 117,667 "
413739,2017-11," 492,315 "," 182,157 "
413762,2017-11," 140,084 "," 51,831 "
413773,2017-11," 164,421 "," 60,836 "
413791,2017-11," 319,122 "," 118,075 "
413798,2017-11," 96,901 "," 35,853 "
413801,2017-11," 48,090 "," 17,793 "
413802,2017-11," 87,227 "," 32,274 "
413803,2017-11," 241,958 "," 89,524 "
413809,2017-11," 205,997 "," 76,219 "
413812,2017-11," 88,424 "," 32,717 "
413813,2017-11," 262,449 "," 97,106 "
413821,2017-11," 65,420 "," 24,205 "
413843,2017-11," 151,170 "," 55,933 "
413846,2017-11," 6,440 "," 2,383 "
413847,2017-11," 78,305 "," 28,973 "
413848,2017-11," 500,088 "," 185,033 "
413870,2017-11," 145,387 "," 53,793 "
413886,2017-11," 183,024 "," 67,719 "
413893,2017-11," 290,810 "," 107,600 "
413897,2017-11," 57,654 "," 21,332 "
413901,2017-11," 190,826 "," 70,606 "
413926,2017-11," 48,317 "," 17,877 "
413930,2017-11," 55,576 "," 20,563 "
413940,2017-11," 202,940 "," 75,088 "
413994,2017-11," 58,342 "," 21,587 "
414002,2017-11," 149,942 "," 55,479 "
414060,2017-11," 164,020 "," 60,688 "
414065,2017-11," 157,851 "," 58,405 "
414103,2017-11," 62,886 "," 23,268 "
414160,2017-11," 152,083 "," 56,271 "
414174,2017-11," 261,971 "," 96,929 "
414181,2017-11," 221,263 "," 81,867 "
414211,2017-11," 406,288 "," 150,326 "
414216,2017-11," 9,361 "," 3,464 "
414225,2017-11," 240,947 "," 89,150 "
414243,2017-11," 120,096 "," 44,435 "
414250,2017-11, 480 , 178 
414256,2017-11," 100,226 "," 37,084 "
414280,2017-11," 143,436 "," 53,071 "
414292,2017-11," 64,953 "," 24,033 "
414295,2017-11," 749,783 "," 277,420 "
414298,2017-11," 66,281 "," 24,524 "
414345,2017-11," 112,907 "," 41,776 "
414356,2017-11," 190,909 "," 70,636 "
414381,2017-11, 0 , -   
414398,2017-11," 212,691 "," 78,696 "
414425,2017-11," 113,979 "," 42,172 "
414430,2017-11," 204,529 "," 75,676 "
414441,2017-11," 228,245 "," 84,451 "
414449,2017-11," 549,023 "," 203,138 "
414450,2017-11," 17,928 "," 6,634 "
414460,2017-11," 25,645 "," 9,489 "
414470,2017-11," 230,816 "," 85,402 "
414491,2017-11," 345,217 "," 127,730 "
414495,2017-11," 184,334 "," 68,203 "
414500,2017-11," 141,121 "," 52,215 "
414503,2017-11," 234,028 "," 86,591 "
414520,2017-11," 684,188 "," 253,149 "
414532,2017-11," 407,335 "," 150,714 "
414533,2017-11," 759,379 "," 280,970 "
414539,2017-11," 3,788 "," 1,402 "
414550,2017-11," 135,307 "," 50,064 "
414558,2017-11," 30,136 "," 11,150 "
414569,2017-11," 233,251 "," 86,303 "
414573,2017-11," 20,060 "," 7,422 "
414574,2017-11," 148,949 "," 55,111 "
414656,2017-11," 143,020 "," 52,917 "
414664,2017-11," 148,273 "," 54,861 "
414680,2017-11," 117,648 "," 43,530 "
414712,2017-11," 24,410 "," 9,032 "
414714,2017-11," 767,328 "," 283,911 "
414716,2017-11," 194,839 "," 72,090 "
414723,2017-11," 288,382 "," 106,701 "
414731,2017-11," 471,984 "," 174,634 "
414733,2017-11," 357,486 "," 132,270 "
414735,2017-11," 133,368 "," 49,346 "
414740,2017-11," 94,153 "," 34,836 "
414749,2017-11," 36,520 "," 13,512 "
414750,2017-11," 111,857 "," 41,387 "
414755,2017-11," 58,369 "," 21,597 "
414761,2017-11," 78,202 "," 28,935 "
414780,2017-11," 103,982 "," 38,473 "
414785,2017-11," 157,329 "," 58,212 "
414803,2017-11," 24,704 "," 9,141 "
414812,2017-11," 240,107 "," 88,840 "
414814,2017-11," 100,577 "," 37,213 "
414817,2017-11," 374,125 "," 138,426 "
414823,2017-11," 462,172 "," 171,004 "
414829,2017-11," 470,624 "," 174,131 "
414841,2017-11," 424,832 "," 157,188 "
